,State Code,longitude,latitude,Courses Available
0,WA,-122.174265,47.73196,23.0
1,IL,-87.802295,42.1085,16.0
2,LA,-91.94369,30.14366,43.0
3,MO,-93.288283,37.21336,98.0
4,PR,-66.26627,18.46053,17.0
5,KY,-84.2758,38.19323,20.0
6,OH,-82.01462,39.97548,331.0
7,FL,-80.203005,26.187315,20.0
8,FL,-80.340205,25.68297,723.0
9,NE,-96.113412,41.20518,46.0
10,SC,-79.01869,33.76539,20.0
11,UT,-111.65246,40.28243,19.0
12,KY,-84.703365,39.06485,20.0
13,NV,-115.11569,36.26769,20.0
14,WV,-78.96596,39.07523,20.0
15,NC,-83.3221277,35.4831552,23.0
16,PA,-80.286715,40.702755,20.0
17,SC,-78.98427,33.77535,18.0
18,CA,-118.825035,34.15134,22.0
19,CA,-120.46905,37.31973,6.0
20,NY,-74.00257,40.74,11.0
21,NC,-79.89077,35.36352,19.0
22,SC,-81.0614,34.95026,40.0
23,NY,-73.976655,40.722829,17.0
24,OH,-84.515565,39.11597,20.0
25,NC,-79.4795,36.08146,20.0
26,UT,-110.79431,39.59933,19.0
27,FL,-82.69505,28.25814,60.0
28,KS,-100.98667,37.43719,24.0
29,IN,-85.85603,41.27165,20.0
30,MA,-71.08884,41.58213,13.0
31,MI,-83.40613,42.39396,29.0
32,OK,-94.80828,35.45335,20.0
33,NY,-73.622395,40.873645,48.0
34,TX,-98.54003,29.445895,20.0
35,NV,-115.20314,36.15793,72.0
36,GA,-83.75705,33.99051,40.0
37,IL,-87.777,41.87257,1426.0
38,KS,-101.749795,38.469777,5.0
39,FL,-81.054165,29.20124,29.0
40,GA,-85.25595,33.537005,96.0
41,TX,-97.975005,30.47485,19.0
42,NH,-71.99529,43.42207,18.0
43,PA,-79.85746,40.35253,20.0
44,TX,-93.74659,30.1058,49.0
45,WA,-122.452783,47.260645,6.0
46,CA,-121.68832,39.36264,10.0
47,FL,-80.101193,26.93463,19.0
48,AL,-85.05226,32.50562,20.0
49,TX,-97.710107,30.21472,189.0
50,ID,-111.10823,43.72696,20.0
51,IL,-87.82796,42.44937,36.0
52,AL,-88.20579,30.685,24.0
53,AR,-92.36712,34.74369,61.0
54,WA,-122.64113,47.73956,13.0
55,NY,-78.73833,42.918375,19.0
56,CA,-121.969135,37.26285,40.0
57,TX,-96.810765,32.8158,18.0
58,CT,-73.05958,41.56048,2.0
59,TX,-95.234886,30.04883,19.0
60,IA,-93.61907,42.02,26.0
61,TX,-96.86248,33.15142,2.0
62,KS,-95.25751,38.923505,22.0
63,VA,-76.426475,37.062395,20.0
64,MD,-76.99056,39.56178,24.0
65,OK,-95.919425,36.072805,20.0
66,MS,-90.474385,31.25158,80.0
67,PA,-80.09409,42.07508,17.0
68,IN,-86.83388,40.3962,14.0
69,FL,-81.970515,28.907705,38.0
70,TX,-95.62343,30.09335,20.0
71,PA,-74.854455,40.099175,20.0
72,NY,-73.978765,40.751295,11183.0
73,CA,-118.04423,34.57221,80.0
74,IL,-88.93,38.3117,27.0
75,FL,-82.711215,27.806915,13.0
76,OK,-98.26251,35.05936,70.0
77,IL,-87.975891,41.810111,29.0
78,FL,-82.47975,28.47853,24.0
79,MA,-70.64577,41.94052,20.0
80,NJ,-74.749195,41.05606,18.0
81,NJ,-74.829025,38.985025,60.0
82,CA,-122.40898,37.79547,16.0
83,PA,-75.40143,40.23419,13.0
84,NY,-77.13702,42.95947,10.0
85,IL,-87.68453,41.80791,18.0
86,NC,-80.83512,36.26365,49.0
87,KS,-98.216729,38.341335,10.0
88,NJ,-74.75189,40.235845,30.0
89,NY,-79.04907,42.638135,20.0
90,TX,-99.7384,32.47381,20.0
91,IA,-92.48249,42.72292,20.0
92,NM,-103.199086,32.120022,20.0
93,MS,-90.89139,32.30785,18.0
94,WA,-122.31525,47.32197,12.0
95,WI,-88.745927,43.631935,10.0
96,CA,-119.46749,35.14634,62.0
97,VA,-82.4719,36.941805,43.0
98,MI,-88.58667,47.13962,10.0
99,WA,-122.43249,47.11346,19.0
100,NJ,-74.17327,39.86251,20.0
101,NJ,-74.16434,40.72273,20.0
102,ME,-69.08543,44.14489,10.0
103,MA,-70.92445,41.87523,40.0
104,NJ,-74.34342,40.517295,14.0
105,AL,-87.29,33.89,10.0
106,CA,-120.938255,37.602575,18.0
107,NY,-77.00077,42.857005,18.0
108,NJ,-74.35048,40.55665,24.0
109,NC,-80.9193,35.22485,45.0
110,KS,-97.123557,39.39211,10.0
111,CA,-124.08994,40.89818,60.0
112,WA,-122.19759,47.66595,20.0
113,NJ,-74.05565,40.88342,112.0
114,PA,-80.07949,42.05203,24.0
115,MS,-88.56569,34.65789,39.0
116,NC,-78.43933,36.33668,20.0
117,CA,-117.76542,33.69524,1.0
118,KS,-97.89211,38.077575,72.0
119,NY,-73.294465,40.694085,48.0
120,MI,-84.12927,44.65182,20.0
121,FL,-82.51354,27.269725,37.0
122,CA,-117.22903,33.1372,20.0
123,OK,-98.46103,34.59422,72.0
124,TX,-102.13749,32.0012,19.0
125,MI,-85.56871,42.949285,26.0
126,IL,-87.81394,42.1021,24.0
127,MI,-84.66733,43.39114,20.0
128,VA,-77.961297,37.357606,20.0
129,FL,-85.226828,30.77476,40.0
130,NV,-115.030666,36.07271,44.0
131,KS,-96.06568,39.834595,20.0
132,CO,-104.613652,38.31796,20.0
133,TX,-99.82549,32.43245,
134,MD,-77.42404,39.43626,
135,ID,-112.02111,43.48157,125.0
136,IN,-86.069845,40.00353,23.0
137,NJ,-74.04514,40.16941,24.0
138,IN,-87.416033,39.422602,20.0
139,CA,-118.22447,33.985,40.0
140,LA,-90.03937,30.00369,72.0
141,PA,-75.41321,39.98569,14.0
142,FL,-81.42047,28.34634,24.0
143,CT,-72.69782,41.77496,268.0
144,NY,-78.87982,43.02018,23.0
145,TX,-95.477992,30.0,20.0
146,WA,-120.538135,46.987265,48.0
147,CA,-121.954087,37.41572,23.0
148,MI,-83.29869,42.39972,20.0
149,WI,-88.02068,43.04192,16.0
150,IN,-86.216936,41.693975,20.0
151,TX,-99.76284,32.39679,13.0
152,CA,-119.149915,34.217795,70.0
153,NC,-75.66058,35.89038,23.0
154,MN,-94.362084,45.96738,9.0
155,IN,-86.621085,41.28866,84.0
156,IL,-89.02268,42.43274,24.0
157,TX,-101.85874,33.59124,35.0
158,FL,-81.519032,30.217315,40.0
159,VA,-79.39577,36.5854,20.0
160,NC,-79.157535,35.465095,19.0
161,MN,-93.435805,44.854485,14.0
162,IN,-86.13048,38.23689,77.0
163,MO,-94.449535,39.2439,40.0
164,CA,-121.29422,38.87819,84.0
165,CA,-121.06239,38.65008,48.0
166,AR,-92.98403,34.577225,20.0
167,MD,-77.34175,39.48503,24.0
168,TX,-95.613523,29.99704,20.0
169,CA,-121.31954,38.01095,356.0
170,CA,-117.245185,34.46853,48.0
171,FL,-82.02379,29.118245,96.0
172,AL,-87.683334,30.392881,0.0
173,TX,-95.45886,30.20412,68.0
174,CA,-122.119545,37.99235,23.0
175,NJ,-74.46171,40.55645,37.0
176,VA,-78.39728,37.29134,20.0
177,CA,-119.32256,36.21067,24.0
178,MA,-72.49873,42.09277,8.0
179,NJ,-74.29473,40.85246,129.0
180,CA,-121.152537,38.67146,24.0
181,AL,-86.978995,34.80429,24.0
182,WI,-88.04847,43.03233,18.0
183,AR,-92.38136,34.74443,15.0
184,TN,-86.934888,36.108724,79.0
185,WA,-120.591243,46.60054,29.0
186,WA,-122.6499,45.71679,10.0
187,FL,-81.578445,30.460495,39.0
188,FL,-80.28512,25.704165,24.0
189,LA,-93.26781,31.1245,24.0
190,CA,-121.2462,37.79803,346.0
191,NM,-105.945571,35.659495,12.0
192,NJ,-75.177355,40.696895,20.0
193,FL,-80.232352,26.08712,181.0
194,MA,-71.338325,41.96746,48.0
195,IL,-87.64466,41.931225,24.0
196,TN,-86.763885,36.108385,81.0
197,KY,-83.17192,37.25604,24.0
198,VA,-81.809,37.09473,25.0
199,LA,-92.11173,29.98061,24.0
200,CA,-118.46875,35.12367,22.0
