,date,y,pred
0,2021-07-12,1.0,15.495382187258006
1,2021-07-13,41.0,20.734505326458457
2,2021-07-14,27.0,30.631476857926216
3,2021-07-15,32.0,30.37852236627358
4,2021-07-16,17.0,17.679445194748666
5,2021-07-17,25.0,23.85217090396283
6,2021-07-18,8.0,20.772873999356698
7,2021-07-19,11.0,19.864688867341627
8,2021-07-20,48.0,33.81326171650433
9,2021-07-21,26.0,37.52925189577369
10,2021-07-22,34.0,36.082659184749375
11,2021-07-23,43.0,27.20568990130424
12,2021-07-24,45.0,26.472053043801132
13,2021-07-25,12.0,25.037499132586163
14,2021-07-26,38.0,30.623797612967522
15,2021-07-27,66.0,42.331769400671554
16,2021-07-28,80.0,42.82432067997407
17,2021-07-29,75.0,43.6113597462651
18,2021-07-30,84.0,45.31354037258853
19,2021-07-31,74.0,44.653018586380966
20,2021-08-01,30.0,35.32288586684719
21,2021-08-02,25.0,50.64965367072468
22,2021-08-03,138.0,66.4215655898514
23,2021-08-04,96.0,98.01304233353827
24,2021-08-05,117.0,101.71146348256711
25,2021-08-06,119.0,109.57359351721526
26,2021-08-07,116.0,97.84885328208188
27,2021-08-08,51.0,73.36646849889877
28,2021-08-09,26.0,66.92807778525304
29,2021-08-10,198.0,130.22268682322442
30,2021-08-11,184.0,132.11218202435776
31,2021-08-12,150.0,135.15724139918336
32,2021-08-13,169.0,121.59662234027974
33,2021-08-14,162.0,116.24165934540602
34,2021-08-15,105.0,77.81754433732937
35,2021-08-16,74.0,86.02652241826802
36,2021-08-17,269.0,169.59551076284
37,2021-08-18,252.0,165.11626804444305
38,2021-08-19,254.0,150.25714525684384
39,2021-08-20,302.0,144.62009835406536
40,2021-08-21,209.0,148.7860288631379
41,2021-08-22,116.0,142.6289293073944
42,2021-08-23,109.0,135.6766339228759
43,2021-08-24,397.0,270.16878176767676
44,2021-08-25,357.0,293.60041300865794
45,2021-08-26,354.0,316.2649865800866
46,2021-08-27,283.0,325.43376666666666
47,2021-08-28,361.0,255.39219139801375
48,2021-08-29,172.0,209.92521148459383
49,2021-08-30,139.0,178.4017921337468
50,2021-08-31,520.0,321.48755151727374
51,2021-09-01,458.0,335.0077013146985
52,2021-09-02,536.0,337.4028829587081
53,2021-09-03,440.0,337.8431466561648
54,2021-09-04,420.0,338.7155336351987
55,2021-09-05,205.0,213.039013997114
56,2021-09-06,136.0,189.78975302590268
57,2021-09-07,271.0,414.883634992785
58,2021-09-08,639.0,459.13144197469194
59,2021-09-09,615.0,444.5528785714286
60,2021-09-10,632.0,433.05573658008655
61,2021-09-11,502.0,411.54977546897555
62,2021-09-12,208.0,304.54602948717945
63,2021-09-13,177.0,263.40952477795946
64,2021-09-14,368.0,476.97683102453095
65,2021-09-15,943.0,596.5946904761905
66,2021-09-16,573.0,627.0315880952381
67,2021-09-17,490.0,600.9494769841268
68,2021-09-18,488.0,558.2098894660894
69,2021-09-19,199.0,437.3398888888888
70,2021-09-20,221.0,256.8898634989429
71,2021-09-21,625.0,488.12860693364615
72,2021-09-22,641.0,576.2953383116884
73,2021-09-23,629.0,576.4178439699189
74,2021-09-24,641.0,543.3662861178295
75,2021-09-25,637.0,521.7700743718698
76,2021-09-26,283.0,361.0092333333333
77,2021-09-27,218.0,452.7581470500515
78,2021-09-28,884.0,649.1052158730162
79,2021-09-29,825.0,757.8775746031748
80,2021-09-30,759.0,767.258438888889
81,2021-10-01,650.0,669.6577254435109
82,2021-10-02,711.0,637.2887651260504
83,2021-10-03,266.0,626.20835
84,2021-10-04,277.0,412.4516500894957
85,2021-10-05,859.0,754.4175023809524
86,2021-10-06,806.0,823.0761140692642
87,2021-10-07,706.0,804.0264309523811
88,2021-10-08,693.0,701.7902045454545
89,2021-10-09,552.0,662.4009212121211
90,2021-10-10,273.0,504.4949108946608
91,2021-10-11,230.0,392.456578271214
92,2021-10-12,721.0,790.1928962759462
93,2021-10-13,661.0,794.1803003968251
94,2021-10-14,623.0,703.4442340909092
95,2021-10-15,560.0,680.5756880591631
96,2021-10-16,522.0,624.9026586940836
97,2021-10-17,216.0,423.9117147619956
98,2021-10-18,199.0,303.2395133414062
99,2021-10-19,724.0,722.8792089155942
100,2021-10-20,578.0,653.4370230769232
101,2021-10-21,536.0,647.8419408730159
102,2021-10-22,568.0,628.6686393467643
103,2021-10-23,471.0,569.2526840720388
104,2021-10-24,189.0,299.68206704871926
105,2021-10-25,255.0,206.83929358753647
106,2021-10-26,741.0,516.3624180766569
107,2021-10-27,644.0,534.5122245578295
108,2021-10-28,666.0,546.7061494619418
109,2021-10-29,518.0,543.8832461438202
110,2021-10-30,520.0,514.1421011270721
111,2021-10-31,303.0,166.21373262862863
112,2021-11-01,157.0,273.6724760871108
113,2021-11-02,656.0,764.1314190476193
114,2021-11-03,649.0,653.0479299253037
115,2021-11-04,611.0,628.3817457394456
116,2021-11-05,574.0,566.862672039072
117,2021-11-06,603.0,495.32030107115116
118,2021-11-07,196.0,287.131239271109
119,2021-11-08,160.0,153.1628600695936
120,2021-11-09,782.0,643.1950777056277
121,2021-11-10,643.0,645.688676762127
122,2021-11-11,624.0,653.1439999999999
123,2021-11-12,402.0,580.855512759463
124,2021-11-13,499.0,510.56549716949723
125,2021-11-14,204.0,215.14887260749327
126,2021-11-15,186.0,157.55394844762444
127,2021-11-16,774.0,668.632693939394
128,2021-11-17,626.0,632.0051896751766
129,2021-11-18,642.0,591.5723293065304
130,2021-11-19,470.0,430.06553865423507
131,2021-11-20,487.0,440.9744713725245
132,2021-11-21,148.0,215.65404793812692
133,2021-11-22,221.0,158.9577297316591
134,2021-11-23,667.0,705.1629615440115
135,2021-11-24,469.0,633.6440253851133
136,2021-11-25,708.0,583.694117494747
137,2021-11-26,174.0,476.04088789700256
138,2021-11-27,369.0,436.989350099257
139,2021-11-28,209.0,181.72509823282408
140,2021-11-29,151.0,203.88935237032823
141,2021-11-30,841.0,669.1588029017917
142,2021-12-01,682.0,488.52231006326224
143,2021-12-02,589.0,554.1028611155064
144,2021-12-03,523.0,199.2733307530704
145,2021-12-04,451.0,275.18501864929584
146,2021-12-05,163.0,190.97336724790506
147,2021-12-06,110.0,155.65999514979305
148,2021-12-07,564.0,533.1385524531023
149,2021-12-08,470.0,591.5766920791175
150,2021-12-09,388.0,561.781170382125
151,2021-12-10,369.0,390.0809108734403
152,2021-12-11,398.0,397.6191773463139
153,2021-12-12,149.0,190.4277242166177
154,2021-12-13,124.0,149.65819577410767
155,2021-12-14,549.0,499.8532705996771
156,2021-12-15,435.0,505.8729821893039
157,2021-12-16,415.0,342.6633469088599
158,2021-12-17,328.0,344.3515114315708
159,2021-12-18,165.0,406.74270831391954
160,2021-12-19,274.0,173.78081289907422
161,2021-12-20,110.0,172.82781741604475
162,2021-12-21,443.0,498.11196063030053
163,2021-12-22,383.0,469.4317729542745
164,2021-12-23,414.0,435.751282272347
165,2021-12-24,409.0,308.01693998756843
166,2021-12-25,167.0,192.41145539876294
167,2021-12-26,69.0,216.8528590797259
168,2021-12-27,117.0,116.88948808932602
169,2021-12-28,421.0,447.474437415379
170,2021-12-29,641.0,351.6177200061633
171,2021-12-30,772.0,403.87610339529317
172,2021-12-31,796.0,367.5964723516399
173,2022-01-01,451.0,168.49575721526728
174,2022-01-02,116.0,98.68964112981307
175,2022-01-03,358.0,130.1725486362481
176,2022-01-04,1229.0,714.3935275239886
177,2022-01-05,1483.0,825.9119845376846
178,2022-01-06,1349.0,649.4873797828311
179,2022-01-07,1485.0,539.6746552586884
180,2022-01-08,930.0,459.3963432719557
181,2022-01-09,962.0,169.5370610961381
182,2022-01-10,475.0,499.16877484959485
183,2022-01-11,1600.0,1066.7640380952382
184,2022-01-12,2915.0,1373.0510595238093
185,2022-01-13,2616.0,1433.0439047619045
186,2022-01-14,2095.0,1457.1597142857142
187,2022-01-15,2239.0,1138.3297
188,2022-01-16,1067.0,1059.2376000000002
189,2022-01-17,754.0,1085.0095428571428
190,2022-01-18,2915.0,1659.614
191,2022-01-19,3120.0,2066.0263333333337
192,2022-01-20,3005.0,2002.015
193,2022-01-21,2663.0,1947.247142857143
194,2022-01-22,2478.0,1746.4696428571428
195,2022-01-23,562.0,1273.1083943722947
196,2022-01-24,0.0,1054.106617948718
197,2022-01-25,3419.0,2116.32
198,2022-01-26,2355.0,2507.8303333333333
199,2022-01-27,2146.0,2439.042
200,2022-01-28,2065.0,2014.293
201,2022-01-29,1623.0,1950.3923095238094
202,2022-01-30,714.0,923.5555642135643
203,2022-01-31,358.0,364.1542798424056
204,2022-02-01,1741.0,2143.6747333333333
205,2022-02-02,1237.0,2270.58
206,2022-02-03,1342.0,2184.768
207,2022-02-04,1184.0,1774.974
208,2022-02-05,892.0,1694.708
209,2022-02-06,3.0,834.8141121933622
210,2022-02-07,702.0,518.5589822991974
211,2022-02-08,973.0,1512.243
212,2022-02-09,882.0,1454.9693904761907
213,2022-02-10,815.0,1511.6266238095236
214,2022-02-11,667.0,1335.6962666666666
215,2022-02-12,470.0,1083.1575124819624
216,2022-02-13,200.0,509.49595460317454
217,2022-02-14,123.0,663.013844582172
218,2022-02-15,449.0,967.5272064574315
219,2022-02-16,426.0,1031.393006060606
220,2022-02-17,394.0,966.1185091391806
221,2022-02-18,286.0,653.6866009935598
222,2022-02-19,231.0,560.7544088522588
223,2022-02-20,113.0,353.4494158419494
224,2022-02-21,58.0,167.15465004553346
225,2022-02-22,184.0,433.1599873162931
226,2022-02-23,187.0,462.7186026176056
227,2022-02-24,273.0,416.41273321720837
228,2022-02-25,203.0,324.79396129486844
229,2022-02-26,133.0,254.32331311144216
230,2022-02-27,94.0,174.1968343587861
231,2022-02-28,24.0,98.3882911225275
232,2022-03-01,154.0,186.4105870808711
233,2022-03-02,147.0,182.71974288300544
234,2022-03-03,151.0,254.97004189642044
235,2022-03-04,120.0,218.70365430606577
236,2022-03-05,77.0,147.47571410857424
237,2022-03-06,51.0,121.86246162374911
238,2022-03-07,31.0,59.3903605887019
239,2022-03-08,79.0,125.92188431879839
240,2022-03-09,92.0,139.07159369277406
241,2022-03-10,88.0,133.92537536310275
242,2022-03-11,82.0,116.38164853309443
243,2022-03-12,64.0,91.64742093742097
244,2022-03-13,27.0,51.8797192881713
245,2022-03-14,14.0,39.77539115027991
246,2022-03-15,53.0,71.72614709081604
247,2022-03-16,56.0,92.03664834486256
248,2022-03-17,52.0,91.06693385965768
249,2022-03-18,51.0,77.80692486403329
250,2022-03-19,0.0,61.628953247493406
251,2022-03-20,0.0,41.734053478356785
252,2022-03-21,0.0,21.877922869159487
253,2022-03-22,0.0,34.66508565874291
254,2022-03-23,0.0,36.398443030040816
255,2022-03-24,0.0,42.29538558628689
256,2022-03-25,233.0,29.224302540260105
257,2022-03-26,0.0,18.7973242039865
258,2022-03-27,0.0,16.832041965800574
259,2022-03-28,0.0,28.287517719795357
260,2022-03-29,30.0,49.330018577697096
261,2022-03-30,41.0,65.67562522035358
262,2022-03-31,34.0,94.75935240591406
263,2022-04-01,83.0,182.58183247011385
264,2022-04-02,0.0,86.74275175515123
265,2022-04-03,0.0,64.94829037550116
266,2022-04-04,0.0,16.192514640659756
267,2022-04-05,42.0,27.43143426974978
268,2022-04-06,65.0,31.734432990717114
269,2022-04-07,50.0,65.3862233499189
