location_key,cumulative_confirmed,cumulative_deceased,death_rate,cumulative_persons_vaccinated,cumulative_persons_fully_vaccinated,cumulative_vaccine_doses_administered,cumulative_persons_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,cumulative_vaccine_doses_administered_pfizer,cumulative_persons_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,cumulative_vaccine_doses_administered_moderna,cumulative_persons_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,cumulative_vaccine_doses_administered_janssen,vaccine_facility_cnt,population,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,average_temperature_celsius,rainfall_mm,snowfall_mm,relative_humidity
US,77678440.0,939599.0,0.01209600759232549,256085694.0,217703007.0,563633255.0,,124885538.0,331363417.0,,75797848.0,210694003.0,,16869069.0,18585443.0,,331002647.0,148838.0,39.828175,-98.5795,,9831510.0,8549545.0,802053.0,78.539024,10.871090596658712,1.3990372804295943,92.5703900744681,60.78165382935561
US_AK,246144.0,1192.0,0.00484269370774831,506738.0,451464.0,1116746.0,,249701.0,639612.0,,160113.0,429593.0,,41530.0,46416.0,711.0,738432.0,1116270.0,64.0,-150.0,580.0,1717856.0,,,78.0,-3.599808510739857,0.997709076372315,612.8230643754513,68.3344256372315
US_AL,1295468.0,19313.0,0.01490812586648223,3054697.0,2484952.0,6167392.0,,1295289.0,3306728.0,,1024008.0,2683478.0,,164973.0,176669.0,3804.0,5024279.0,161950.0,32.7,-86.7,152.0,135765.0,,,75.1,17.0604511575179,4.312945751789976,,72.35816067780429
US_AR,833029.0,11237.0,0.013489326301965478,1997686.0,1629033.0,4138633.0,,853775.0,2247426.0,,661498.0,1764635.0,,112460.0,122570.0,2049.0,2978204.0,161646.0,34.8,-92.2,198.0,137733.0,,,75.6,15.5661554725537,3.6142835,119.8780391764706,71.24943445226731
US_AS,3756.0,0.0,0.0,44726.0,40484.0,104022.0,,30271.0,78869.0,,9347.0,24007.0,,578.0,566.0,,55689.0,,-14.295833,-170.7075,765.0,199.0,,,,27.28059206571087,8.623092637992832,,84.95321760573476
US_AZ,2007180.0,29268.0,0.014581651869787464,5261232.0,4435616.0,11772372.0,,2469036.0,6760154.0,,1627647.0,4617509.0,,331525.0,366853.0,3699.0,6828065.0,162018.0,34.286667,-111.656944,1250.0,295234.0,,,78.7,18.074031526252984,0.5542296443914081,156.32176,32.99164870047733
US_CA,8494005.0,88207.0,0.010384618327867714,32619132.0,28108422.0,72704550.0,,16390011.0,43322292.0,,9631141.0,27069000.0,,2082283.0,2297659.0,20250.0,39144818.0,165475.0,37.0,-120.0,884.0,423970.0,,,80.8,16.47789973150358,0.5232858723150358,,55.871173023866355
US_CO,1352676.0,12174.0,0.008999937900872048,4540950.0,4017897.0,10452085.0,,2274216.0,6065219.0,,1429755.0,4036825.0,,311212.0,340092.0,2277.0,5456574.0,161961.0,39.0,-105.5,2073.0,269837.0,,,80.0,6.126121544152745,0.628571946300716,45.495669495726496,43.43677254295943
US_CT,737276.0,10779.0,0.014620033745842805,3374089.0,2795957.0,7396401.0,,1622288.0,4356303.0,,942757.0,2790115.0,,230461.0,248746.0,2283.0,3590886.0,165794.0,41.6,-72.7,152.0,14357.0,,,80.4,10.742341213603819,2.3836547338902148,102.38827586206895,66.59879616706445
US_DC,136886.0,1331.0,0.00972341948774893,683067.0,514463.0,1459617.0,,299235.0,896050.0,,175474.0,525815.0,,39286.0,36671.0,396.0,802178.0,5396194.0,38.895,-77.036667,,177.0,,,,13.248731242243437,1.8637728723150357,41.72857140476191,66.02008293556086
US_DE,259008.0,2846.0,0.01098807758833704,802376.0,665622.0,1756361.0,,374837.0,1019355.0,,233175.0,672995.0,,56915.0,61856.0,648.0,945934.0,162110.0,39.0,-75.5,18.0,6452.0,,,77.8,13.406818897374702,1.5755208269689738,99.78571428571429,70.00509421837708
US_FL,5851512.0,73282.0,0.012523600737723857,16895717.0,14275246.0,36566492.0,,8035258.0,21480343.0,,4845548.0,13477089.0,,1355114.0,1471468.0,14352.0,20271272.0,162050.0,28.133333,-81.631667,30.0,170304.0,,,78.9,22.60839651312649,2.7194422780429592,,71.87769626610978
US_GA,2430374.0,35636.0,0.01466276383799366,6892219.0,5760284.0,14583121.0,,3300130.0,8547566.0,,2130327.0,5656987.0,,318000.0,338825.0,6945.0,10214860.0,161957.0,33.0,-83.5,180.0,153909.0,,,77.2,16.952322738663483,2.9509810596658714,,72.02050029832935
US_GU,48234.0,347.0,0.007194095451341378,152774.0,138344.0,343641.0,,86930.0,221929.0,,40302.0,108107.0,,11017.0,13359.0,,161785.0,1152532.0,13.5,144.8,,544.0,,,79.575,27.980297774463008,3.07855923627685,,76.83997653579952
US_HI,234659.0,1376.0,0.00586382793756046,1231633.0,1101510.0,2841203.0,,673486.0,1738420.0,,362949.0,1031635.0,,65061.0,70853.0,570.0,1431603.0,166563.0,21.3075,-157.8575,925.0,28311.0,,,81.0,24.181445454653936,0.9603379642004772,,71.7087769928401
US_IA,758463.0,9445.0,0.012452815760294174,2134012.0,1942135.0,4976090.0,,1067766.0,2825224.0,,711342.0,1972382.0,,162651.0,177951.0,2703.0,3046355.0,161650.0,42.0,-93.0,,145746.0,,,79.2,8.99190004176611,1.3545158281622913,118.66217391304347,70.24180165274463
US_ID,444298.0,4879.0,0.010981368360874908,1085490.0,958470.0,2396710.0,,548337.0,1402415.0,,328349.0,903237.0,,80978.0,87552.0,1200.0,1654930.0,162116.0,45.0,-114.0,1524.0,216699.0,,,79.0,5.014288873508353,0.6930073389021479,51.7144,56.667837144391406
US_IL,3075243.0,37684.0,0.012253990985427819,9664893.0,8637338.0,22044851.0,,5207086.0,13557939.0,,2798609.0,7779766.0,,622385.0,677323.0,6345.0,12859995.0,122586.0,40.000278,-89.250278,191.0,149998.0,,,78.8,10.521746178997613,2.589476929594272,74.04608,72.57153456085919
US_IN,1691470.0,23429.0,0.013851265467315412,4112717.0,3670123.0,9320779.0,,2133192.0,5632655.0,,1248032.0,3353401.0,,280527.0,304121.0,3921.0,6619680.0,161816.0,39.933333,-86.216667,210.0,94321.0,,,76.8,10.836410171837707,2.50001342124105,75.85363636363635,71.25272797374701
US_KS,771200.0,8413.0,0.010908973029045643,2156624.0,1771960.0,4502721.0,,1013435.0,2651983.0,,631950.0,1709009.0,,125830.0,137611.0,1956.0,2911641.0,161644.0,38.5,-98.0,600.0,213100.0,,,78.0,12.319110013126492,1.5731322100238663,48.87310344827586,61.189558036992835
US_KY,1322770.0,14917.0,0.011277092767450123,2939691.0,2547169.0,6401991.0,,1361450.0,3536776.0,,973712.0,2627170.0,,210190.0,235469.0,3153.0,4425092.0,161655.0,37.5,-85.0,230.0,104659.0,,,75.3,12.495881587112171,2.0490300334128877,49.10666666666666,71.44240704057279
US_LA,1232513.0,17138.0,0.013904924329398554,2821912.0,2472634.0,6146860.0,,1334012.0,3436447.0,,957802.0,2509203.0,,179726.0,198121.0,4566.0,4533372.0,224922.0,31.0,-92.0,30.0,135382.0,,,75.6,18.831593941527444,4.424449631264917,30.48,74.16871705131265
US_MA,1700361.0,22164.0,0.013034879063916427,6703201.0,5388924.0,14445863.0,,3117235.0,8406516.0,,1891075.0,5636353.0,,380408.0,402548.0,3339.0,6794422.0,61315.0,42.3,-71.8,150.0,27336.0,,,80.1,9.545889519093079,2.985707353221957,98.73915789473683,66.62447327207637
US_MD,1012621.0,14347.0,0.014168183357840692,5187451.0,4533096.0,11730927.0,,2693644.0,7117798.0,,1509570.0,4231533.0,,325440.0,364184.0,3363.0,6177224.0,162112.0,39.0,-76.7,350.0,32131.0,,,78.5,13.274090151551311,1.4406415978520288,53.69277777777778,67.7036846229117
US_ME,236046.0,2202.0,0.009328690170559976,1203852.0,1059557.0,2733580.0,,546569.0,1476450.0,,380611.0,1110392.0,,131217.0,143287.0,723.0,1328361.0,63512.0,45.5,-69.0,180.0,91646.0,,,78.6,6.041475862768497,2.262975126491647,90.41671974522292,70.23997004892601
US_MI,2383197.0,35666.0,0.014965611319584574,6654179.0,5968749.0,15469335.0,,3385433.0,8932043.0,,2162675.0,6071273.0,,419529.0,463859.0,6429.0,9922576.0,165789.0,44.34,-85.58,275.0,250493.0,,,77.7,7.104142731503581,1.5480804164677804,144.3716254416961,72.02219025059667
US_MN,1430319.0,12640.0,0.008837189466126088,4214024.0,3877441.0,10019692.0,,2252220.0,6033697.0,,1296103.0,3625811.0,,327492.0,355690.0,2523.0,5489594.0,165471.0,46.0,-94.0,365.0,225163.0,,,80.5,5.084921912887829,1.3992423568019092,180.71276450511945,67.2807406718377
US_MO,1428277.0,20168.0,0.014120510237159878,4038203.0,3411837.0,8754956.0,,2014595.0,5341397.0,,1159686.0,3161075.0,,236820.0,250161.0,3336.0,6083672.0,161638.0,38.5,-92.5,240.0,181533.0,,,76.6,12.48222693556086,2.693685415274463,62.45013333333333,67.34260409188545
