date,location_key,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index
2021-01-01,US_GA,2.0,1.0,1.0,3.0,0.0,2.0,1.0,3.0,1.0,2.0,0.0,0.0,2.0,3.0,1.0,,,2.0,2.0,53.7
2021-01-01,US_WI,2.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,3.0,2.0,56.02
2021-01-01,US_CO,2.0,2.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,2.0,,,2.0,2.0,2.0,,,3.0,2.0,57.41
2021-01-01,US_WA,2.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,2.0,64.81
2021-01-01,US_TN,2.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,3.0,2.0,64.81
2021-01-01,US_NE,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,2.0,,,2.0,3.0,2.0,,,2.0,1.0,47.22
2021-01-01,US_WV,2.0,1.0,2.0,3.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,3.0,2.0,54.63
2021-01-01,US_PA,2.0,2.0,1.0,4.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,3.0,2.0,63.89
2021-01-01,US_LA,2.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,,,2.0,2.0,1.0,,,3.0,2.0,58.33
2021-01-01,US_MT,1.0,1.0,1.0,3.0,0.0,2.0,1.0,3.0,1.0,1.0,,,2.0,3.0,1.0,,,3.0,1.0,51.85
2021-01-01,US_KY,2.0,1.0,1.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,3.0,2.0,62.04
2021-01-01,US_MI,2.0,2.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,,,2.0,3.0,2.0,,,3.0,2.0,61.11
2021-01-01,US_OR,2.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,2.0,61.11
2021-01-01,US,3.0,2.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,4.0,1.0,71.76
2021-01-01,US_HI,2.0,2.0,2.0,4.0,1.0,2.0,2.0,3.0,1.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,3.0,2.0,78.7
2021-01-01,US_OH,2.0,1.0,1.0,4.0,0.0,2.0,1.0,3.0,1.0,1.0,,,2.0,3.0,2.0,,,3.0,2.0,58.33
2021-01-01,US_CA,3.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0,1.0,2.0,,,2.0,3.0,2.0,,,3.0,2.0,66.2
2021-01-01,US_SD,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,,,2.0,2.0,41.67
2021-01-01,US_TX,2.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,1.0,,,2.0,2.0,1.0,,,3.0,2.0,56.48
2021-01-01,US_MO,2.0,1.0,2.0,3.0,0.0,2.0,1.0,3.0,1.0,1.0,,,2.0,3.0,2.0,,,3.0,3.0,49.07
2021-01-01,US_ID,2.0,1.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,1.0,,,2.0,2.0,1.0,,,3.0,2.0,60.19
2021-01-01,US_RI,2.0,2.0,1.0,4.0,0.0,1.0,2.0,3.0,2.0,2.0,,,2.0,3.0,2.0,,,3.0,2.0,65.74
2021-01-01,US_NY,2.0,3.0,2.0,4.0,1.0,1.0,2.0,3.0,2.0,2.0,,,2.0,3.0,1.0,,,3.0,2.0,72.69
2021-01-01,US_NJ,2.0,1.0,1.0,4.0,0.0,1.0,1.0,3.0,1.0,2.0,,,2.0,3.0,2.0,,,3.0,2.0,54.63
2021-01-01,US_AK,3.0,1.0,2.0,4.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,3.0,2.0,61.57
2021-01-01,US_MA,2.0,2.0,2.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,4.0,2.0,72.22
2021-01-01,US_MN,2.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,,,2.0,3.0,1.0,,,2.0,2.0,69.44
2021-01-01,US_KS,2.0,1.0,2.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,,,2.0,3.0,1.0,,,3.0,2.0,56.94
2021-01-01,US_DC,1.0,3.0,2.0,3.0,0.0,1.0,2.0,3.0,1.0,2.0,,,2.0,3.0,2.0,,,3.0,2.0,68.52
2021-01-01,US_UT,2.0,1.0,1.0,4.0,0.0,1.0,1.0,3.0,1.0,1.0,,,2.0,2.0,1.0,,,2.0,2.0,51.85
2021-01-01,US_AZ,2.0,1.0,2.0,3.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,3.0,0.0,57.41
2021-01-01,US_NV,2.0,1.0,1.0,4.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,3.0,1.0,54.63
2021-01-01,US_DE,2.0,2.0,1.0,4.0,0.0,1.0,1.0,3.0,1.0,2.0,,,2.0,3.0,2.0,,,4.0,1.0,58.33
2021-01-01,US_WY,1.0,1.0,1.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,,,2.0,3.0,2.0,,,2.0,2.0,61.11
2021-01-01,US_ND,2.0,1.0,1.0,2.0,0.0,1.0,1.0,3.0,1.0,1.0,,,2.0,2.0,2.0,,,2.0,2.0,47.69
2021-01-01,US_IN,2.0,1.0,1.0,4.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,56.02
2021-01-01,US_NM,2.0,2.0,2.0,4.0,2.0,1.0,2.0,3.0,1.0,1.0,,,2.0,3.0,2.0,,,3.0,2.0,75.0
2021-01-01,US_AL,2.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,3.0,2.0,43.52
2021-01-01,US_MS,2.0,1.0,1.0,4.0,0.0,1.0,1.0,3.0,1.0,1.0,,,2.0,1.0,1.0,,,3.0,2.0,53.24
2021-01-01,US_IL,2.0,1.0,2.0,4.0,0.0,2.0,2.0,3.0,1.0,2.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,3.0,2.0,66.67
2021-01-01,US_NC,2.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,,,2.0,2.0,1.0,,,4.0,1.0,64.81
2021-01-01,US_SC,2.0,1.0,1.0,2.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,3.0,2.0,49.07
2021-01-01,US_ME,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,3.0,2.0,61.11
2021-01-01,US_OK,2.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,,,2.0,3.0,1.0,,,3.0,2.0,44.44
2021-01-01,US_CT,2.0,2.0,1.0,4.0,1.0,1.0,2.0,3.0,1.0,2.0,,,2.0,3.0,2.0,,,3.0,2.0,67.59
2021-01-01,US_MD,2.0,2.0,2.0,4.0,0.0,1.0,2.0,3.0,1.0,2.0,,,2.0,3.0,2.0,,,4.0,2.0,69.44
2021-01-01,US_VA,2.0,1.0,2.0,4.0,0.0,2.0,1.0,3.0,1.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,3.0,2.0,63.89
2021-01-01,US_AR,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,,2.0,2.0,2.0,,,3.0,2.0,50.93
2021-01-01,US_IA,2.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,,,2.0,2.0,1.0,,,3.0,2.0,43.52
2021-01-01,US_NH,2.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,,,2.0,2.0,1.0,,,3.0,2.0,49.07
2021-01-01,US_VT,2.0,2.0,2.0,4.0,0.0,1.0,2.0,3.0,2.0,2.0,,,2.0,3.0,2.0,,,3.0,2.0,69.44
2021-01-01,US_FL,2.0,1.0,1.0,4.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,2.0,47.69
2021-01-02,US_NH,2.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,,,2.0,2.0,1.0,,,3.0,2.0,49.07
2021-01-02,US_NM,2.0,2.0,2.0,4.0,2.0,1.0,2.0,3.0,1.0,1.0,,,2.0,3.0,2.0,,,3.0,2.0,75.0
2021-01-02,US_ND,2.0,1.0,1.0,2.0,0.0,1.0,1.0,3.0,1.0,1.0,,,2.0,2.0,2.0,,,2.0,2.0,47.69
2021-01-02,US_OR,2.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,2.0,61.11
2021-01-02,US_MI,2.0,2.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,,,2.0,3.0,2.0,,,3.0,2.0,61.11
2021-01-02,US_HI,2.0,2.0,2.0,4.0,1.0,2.0,2.0,3.0,1.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,3.0,2.0,78.7
2021-01-02,US_NV,2.0,1.0,1.0,4.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,3.0,1.0,54.63
2021-01-02,US_MD,2.0,2.0,2.0,4.0,0.0,1.0,2.0,3.0,1.0,2.0,,,2.0,3.0,2.0,,,4.0,2.0,69.44
2021-01-02,US_AZ,2.0,1.0,2.0,3.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,3.0,0.0,57.41
2021-01-02,US_WA,2.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,2.0,64.81
2021-01-02,US_UT,2.0,1.0,1.0,4.0,0.0,1.0,1.0,3.0,1.0,1.0,,,2.0,2.0,1.0,,,2.0,2.0,51.85
